First_Name	Last_Name	CNIC	AccID	Saving/Current	Balance	Creation_Date
Abel	Maclead	33199-1352370-1	3119	S	2446500	2/12/2002
Albina	Glick	16439-1400722-7	3218	C	3692000	18/3/2015
Alisha	Slusarski	13625-7935822-4	3178	C	4088500	5/9/2012
Alishia	Sergi	16540-4435190-5	3220	S	1678500	2/10/2012
Allene	Iturbide	42270-2533810-2	3186	C	962000	19/12/2013
Amber	Monarrez	36909-6100192-9	3333	S	129500	3/12/2008
Ammie	Corrio	27086-3028720-7	3206	S	2298000	0/12/2015
Arlette	Honeywell	12111-2582560-2	3443	S	1415000	16/5/2002
Art	Venere	21538-1250446-7	3061	C	3855500	12/10/2003
Bernardo	Figeroa	33152-1299600-0	3205	S	2554500	8/8/2000
Bette	Nicka	27437-1678084-3	3158	C	850500	14/7/2006
Blair	Malet	21342-1361760-1	3306	C	3533500	28/10/2010
Blondell	Pugh	35898-4999100-7	3353	C	2592000	12/4/2010
Bobbye	Rhym	17636-2096515-1	3397	S	284000	12/12/2012
Brock	Bolognia	30783-1028157-5	3315	C	2477500	9/1/2012
Cammy	Albares	35200-2449175-0	3130	S	1146000	27/1/2016
Carma	Vanheusen	13523-2990098-1	3493	S	1864500	27/10/2003
Carmelina	Lindall	39087-1127224-0	3365	S	1970500	9/12/2006
Cecily	Hollack	14693-2935318-6	3360	C	3863000	10/4/2010
Chanel	Caudy	39972-3827152-3	3188	C	3950000	25/8/2014
Cory	Gibes	23549-1032220-1	3474	S	579500	12/4/2006
Danica	Bruschke	36489-1119568-4	3477	S	1037000	0/3/2012
Deeanna	Juhas	13039-2671800-2	3350	S	839500	25/2/2007
Delisa	Crupi	17950-6537376-1	3424	C	3611500	19/8/2000
Delmy	Ahle	19961-1791800-5	3345	S	3907500	8/4/2003
Devorah	Chickering	18925-1834532-7	3433	S	3863500	6/9/2016
Dominque	Dickerson	38442-3029384-0	3446	C	1163500	18/7/2009
Donette	Foller	40106-1034891-4	3071	S	1774000	13/5/2003
Dyan	Oldroyd	29090-2185709-0	3259	S	3802500	16/10/2014
Elly	Morocco	22022-1472152-7	3378	S	399500	2/1/2006
Elvera	Benimadho	30615-2525905-6	3485	C	4441000	12/12/2007
Elza	Lipke	15021-1043035-1	3432	C	1928000	27/2/2016
Emerson	Bowley	13527-3335698-5	3303	S	2340500	21/8/2009
Erick	Ferencz	28786-5529803-7	3278	C	4120000	20/6/2003
Ernie	Stenseth	24924-1596717-0	3214	C	600000	13/7/2011
Ezekiel	Chui	18360-2801320-0	3195	S	1847000	6/5/2014
Fatima	Saylors	35542-2798084-1	3287	C	623500	13/8/2002
Fletcher	Flosi	20555-2260278-1	3156	S	1264500	10/9/2001
Francine	Vocelka	23261-1192556-4	3208	C	760000	2/2/2003
Gladys	Rim	34389-5176725-0	3144	S	292500	1/4/2016
Graciela	Ruta	40303-2369280-4	3123	C	4751500	15/1/2010
Ilene	Eroman	30448-3636820-5	3384	S	2115000	18/6/2014
Jamal	Vanausdal	17200-1441177-4	3355	S	1299000	19/3/2012
James	Butt	28467-3717286-9	3052	C	245500	23/5/2007
Jina	Briddick	23648-3326293-3	3289	S	2972000	22/10/2011
Johnetta	Abdallah	38962-5423834-9	3395	C	639000	17/8/2013
Jose	Stockham	18932-1808024-3	3230	C	1241500	28/12/2015
Josephine	Darakjy	21942-1202734-1	3058	C	863000	27/5/2011
Kallie	Blackwood	36946-3201100-8	3394	C	4732000	10/12/2005
Kanisha	Waycott	28540-2762992-8	3296	S	3551500	5/6/2003
Karl	Klonowski	11650-1328396-3	3325	C	2128000	5/7/2005
Kati	Rulapaugh	20548-3064600-3	3246	C	4221500	8/9/2006
Kiley	Caldarera	32483-6487384-0	3120	S	778000	10/10/2013
Kris	Marrier	18909-5002816-1	3105	C	827500	1/0/2006
Lai	Gato	33840-6656376-0	3455	C	4626000	11/6/2002
Laurel	Reitler	15764-1406410-2	3417	C	97500	1/0/2009
Lavera	Perin	39174-2777849-5	3275	S	2042000	2/12/2001
Lenna	Paprocki	16868-6088026-2	3069	C	921000	20/6/2014
Leota	Dilliard	29072-3727450-7	3090	C	2787000	25/2/2003
Lettie	Isenhower	41310-1319950-6	3450	C	4305000	2/5/2006
Lisha	Centini	40693-1075900-9	3508	C	4197000	3/3/2017
Lorrie	Nestle	42726-3579724-5	3317	S	598000	13/12/2014
Malinda	Hochard	12995-2079234-3	3496	S	2527500	1/0/2016
Marjory	Mastella	15994-3963904-6	3321	C	2093000	9/9/2003
Maryann	Royster	30024-7051752-5	3177	S	3695500	24/12/2012
Mattie	Poquette	34179-1170688-8	3134	C	1323000	28/9/2006
Maurine	Yglesias	41762-1799986-6	3367	C	3404500	24/6/2012
Meaghan	Garufi	14886-1494628-9	3135	S	4238000	16/5/2011
Micaela	Rhymes	17085-1060129-2	3399	C	1305500	0/8/2007
Minna	Amigon	16359-1475893-8	3111	C	2010500	7/9/2006
Mitsue	Tollner	12082-2770229-3	3084	C	4372500	5/0/2017
Moon	Parlato	23161-4703225-8	3410	C	2695500	25/9/2006
